year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1985,Mujer,Posgrado,Rural,Belice,Bogotá D.C.,Bogotá D.C.,0,B,,,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,,,1,,1,1,,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Educación,Agitación,Tensión,Inquietud,Arrepentimiento,Trabajo","Emoción,Timidez,Educación,Sorpresa,Impresión,Vergüenza","Imprudencia,Aburrición,Nostalgia,Orgullo,Impresión,Disciplina",,
1976,Mujer,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,8208,V,Tolerancia a la ambigüedad,3,Sí,2,2,2,2,5,4,1,1,4,1,2,1,1,1,1,2,3,3,3,1,1,1,1,,,1,,1,,,1,3,2,2,1,1,3,3,3,3,1,1,2,1,1,4,4,3,3,2,3,1,3,2,2,2,"Aburrición,Tensión,Agitación,Imprudencia,Arrepentimiento,Vergüenza","Dedicación,Trabajo,Compasión,Disciplina,Educación,Orgullo","Educación,Trabajo,Compasión,Orgullo,Disciplina,Dedicación",,
1976,Hombre,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,7809,C,Deshumanización,,Sí,1,4,4,4,4,4,1,1,4,1,4,4,4,4,3,4,5,3,4,1,0,0,0,1,,,,1,,1,,3,3,3,1,1,1,2,1,3,2,2,3,2,2,3,5,4,4,4,4,3,4,2,1,3,"Sospecha,Agitación,Dedicación,Tensión,Imprudencia,Educación","Amistad,Dedicación,Trabajo,Disciplina,Educación,Cordialidad","Educación,Imprudencia,Nostalgia,Inquietud,Tensión,Sospecha",,
1973,Hombre,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,3730,P,Confianza,.75,Sí,1,3,2,1,4,1,1,1,3,2,1,1,1,1,1,2,1,2,3,1,1,1,1,,,1,,1,,,1,4,3,3,1,1,4,3,3,3,2,2,2,2,2,2,3,2,2,3,4,1,5,2,3,3,"Cordialidad,Sospecha,Aburrición,Agitación,Tensión,Educación","Aburrición,Cordialidad,Educación,Disciplina,Compasión,Emoción","Educación,Emoción,Dedicación,Disciplina,Trabajo,Orgullo",,
1972,Mujer,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,3569,V,Discriminización,,Sí,3,5,2,2,4,4,1,1,3,4,2,1,2,1,2,1,1,4,3,1,0,1,0,,,1,,1,,,1,4,3,3,1,1,3,3,2,4,1,1,1,1,1,1,4,4,3,3,4,3,4,4,3,4,"Sospecha,Aburrición,Arrepentimiento,Imprudencia,Cordialidad,Agitación","Trabajo,Emoción,Cordialidad,Dedicación,Orgullo,Disciplina","Orgullo,Trabajo,Dedicación,Disciplina,Educación,Cordialidad",,
1970,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Norte de Santander,Villa del Rosario,7621,V,Tolerancia a la ambigüedad,3.5,No,1,5,1,5,5,5,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,1,,1,1,,1,,,,3,4,3,1,1,2,1,1,3,4,1,1,5,3,3,5,1,1,5,5,5,5,5,5,1,"Orgullo,Educación,Dedicación,Trabajo,Disciplina,Emoción","Aburrición,Vergüenza,Agitación,Arrepentimiento,Imprudencia,Extroversión","Vergüenza,Aburrición,Arrepentimiento,Imprudencia,Extroversión,Sospecha",,
1956,Hombre,Título universitario,Estrato 3,Colombia,Cundinamarca,Cajicá,3463,V,Discriminización,.73333335,No,1,5,3,1,1,5,1,1,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,,1,1,,,,,1,5,3,3,1,1,1,3,2,4,1,1,1,1,1,1,3,3,5,5,5,3,3,3,1,3,"Disciplina,Orgullo,Dedicación,Trabajo,Cordialidad,Amistad","Educación,Dedicación,Disciplina,Amistad,Cordialidad,Compasión","Disciplina,Amistad,Educación,Compasión,Cordialidad,Dedicación",,
1971,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,3554,R,Tolerancia a la ambigüedad,2.9000001,No,1,2,2,1,4,3,1,1,3,3,1,3,2,1,1,1,4,1,3,1,1,1,1,,,,,1,,1,1,4,4,3,1,1,2,2,1,2,2,1,2,1,1,2,3,3,3,1,3,2,3,3,4,3,"Agitación,Inquietud,Aburrición,Educación,Emoción,Trabajo","Cordialidad,Disciplina,Dedicación,Inquietud,Agitación,Imprudencia","Orgullo,Inquietud,Disciplina,Trabajo,Educación,Dedicación",,
1975,Mujer,Título universitario,Estrato 5,Colombia,Bogotá D.C.,Bogotá D.C.,670,O,Tolerancia a la ambigüedad,,Sí,2,1,3,4,1,1,2,2,1,1,1,5,1,2,1,4,5,1,4,1,1,0,0,,,,,,1,1,1,3,2,1,0,1,3,1,1,2,4,3,3,3,2,4,5,5,4,3,4,5,4,4,1,4,"Trabajo,Disciplina,Cordialidad,Dedicación,Orgullo,Emoción","Aburrición,Sorpresa,Vergüenza,Sospecha,Educación,Inquietud","Imprudencia,Agitación,Vergüenza,Sospecha,Tensión,Arrepentimiento",,
1952,Mujer,Título universitario,Estrato 4,Colombia,Boyacá,Guateque,5262,P,Discriminización,,Sí,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,,,,,1,,1,1,4,3,3,0,1,2,3,2,4,1,2,1,1,1,2,3,3,3,3,5,4,4,3,3,4,"Imprudencia,Amistad,Inquietud,Trabajo,Emoción,Sospecha","Cordialidad,Educación,Trabajo,Orgullo,Dedicación,Amistad","Disciplina,Inquietud,Tensión,Trabajo,Agitación,Orgullo",,
1953,Hombre,Posgrado,Estrato 6,Colombia,Bogotá D.C.,Bogotá D.C.,2896,B,Confianza,.88,No,2,2,2,2,4,4,1,2,3,2,2,1,1,3,2,4,4,2,1,1,0,1,0,,,1,,1,,,1,5,4,4,1,1,2,3,2,4,3,2,2,2,1,2,4,4,3,3,4,2,4,3,2,4,"Orgullo,Sospecha,Agitación,Tensión,Imprudencia,Inquietud","Trabajo,Educación,Disciplina,Compasión,Dedicación,Cordialidad","Disciplina,Trabajo,Dedicación,Educación,Inquietud,Tensión",,
1956,Mujer,Posgrado,Estrato 6,Colombia,Valle del Cauca,Palmira,5340,L,Discriminización,.36666667,No,1,3,2,2,2,4,2,1,2,2,2,3,3,1,1,2,3,3,3,1,1,1,1,,1,1,,,,,1,4,4,4,1,1,2,2,2,4,1,2,1,1,1,2,3,4,3,3,4,3,4,3,3,4,"Emoción,Agitación,Imprudencia,Sospecha,Tensión,Arrepentimiento","Inquietud,Educación,Orgullo,Trabajo,Dedicación,Disciplina","Disciplina,Trabajo,Orgullo,Dedicación,Educación,Amistad",,
1954,Hombre,Técnico / Tecnológico,Rural,Colombia,Quindío,Armenia,9731,C,Discriminización,,Sí,1,2,2,3,2,2,3,2,2,1,2,4,2,1,3,1,4,1,3,1,1,1,1,,1,,,,1,,1,3,2,2,0,1,1,2,2,2,2,2,2,2,1,1,3,4,2,3,4,1,2,3,2,1,"Disciplina,Dedicación,Compasión,Inquietud,Educación,Amistad","Emoción,Vergüenza,Imprudencia,Nostalgia,Sorpresa,Arrepentimiento","Tensión,Agitación,Sospecha,Imprudencia,Vergüenza,Emoción",,
1968,Hombre,Título universitario,Estrato 3,Colombia,Nariño,Pasto,3075,B,Deshumanización,1,Sí,2,1,3,5,2,2,1,2,2,2,3,2,2,2,4,3,4,2,4,1,1,1,0,,,1,,,,1,1,4,3,3,0,1,2,1,1,3,3,3,3,4,4,5,5,5,5,5,5,1,3,3,3,3,"Inquietud,Amistad,Compasión,Trabajo,Educación,Sospecha","Imprudencia,Emoción,Timidez,Sorpresa,Inquietud,Vergüenza","Orgullo,Sospecha,Imprudencia,Agitación,Tensión,Impresión",,
1953,Hombre,Posgrado,Estrato 4,Colombia,Antioquia,Medellín,7182,D,Discriminización,,Sí,4,5,3,5,1,1,5,5,1,1,1,5,1,1,5,1,1,1,1,1,0,0,0,,,,1,,1,1,,4,4,4,1,1,2,1,1,1,5,5,5,4,4,5,3,4,5,4,5,3,5,4,2,4,"Trabajo,Disciplina,Cordialidad,Educación,Orgullo,Amistad","Imprudencia,Arrepentimiento,Inquietud,Emoción,Sorpresa,Tensión","Imprudencia,Agitación,Nostalgia,Sospecha,Aburrición,Inquietud",,
1977,Hombre,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,4656,E,Tolerancia a la ambigüedad,3.3,Sí,1,4,4,1,3,1,1,2,1,1,3,4,1,2,1,2,5,1,1,1,1,1,1,,,,,,1,1,1,3,2,3,0,1,4,3,1,4,2,2,2,2,1,2,3,2,4,3,4,2,3,4,2,4,"Educación,Sorpresa,Agitación,Emoción,Tensión,Imprudencia","Amistad,Compasión,Educación,Orgullo,Cordialidad,Trabajo","Tensión,Agitación,Sospecha,Imprudencia,Vergüenza,Emoción",,
1982,Mujer,Título universitario,Estrato 6,Colombia,Bogotá D.C.,Bogotá D.C.,6255,G,Deshumanización,1,No,1,5,1,1,1,2,1,1,3,2,1,3,1,1,1,1,3,1,2,1,1,1,1,,,1,,,1,,1,3,3,3,1,1,2,2,3,5,2,2,2,3,3,2,2,1,3,3,4,3,4,3,2,3,"Imprudencia,Orgullo,Impresión,Vergüenza,Sospecha,Tensión","Trabajo,Cordialidad,Educación,Compasión,Amistad,Disciplina","Disciplina,Dedicación,Trabajo,Educación,Orgullo,Compasión",,
1966,Hombre,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,3358,F,Tolerancia a la ambigüedad,3,No,2,3,4,1,2,1,1,1,2,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,,,,,,1,1,4,3,3,0,0,3,1,1,3,3,3,3,3,3,1,3,3,4,3,4,4,4,3,4,4,"Compasión,Educación,Timidez,Amistad,Orgullo,Inquietud","Amistad,Cordialidad,Educación,Compasión,Disciplina,Trabajo","Sospecha,Aburrición,Nostalgia,Emoción,Tensión,Inquietud",,
1965,Hombre,Técnico / Tecnológico,Estrato 2,Colombia,Quindío,Armenia,9871,C,Discriminización,,Sí,3,2,3,1,2,3,2,1,2,1,4,4,4,2,4,4,5,2,4,1,1,1,1,1,,,,,,1,1,3,3,3,0,1,1,3,1,2,4,4,2,2,3,5,2,4,5,4,5,4,5,4,4,2,"Aburrición,Imprudencia,Extroversión,Trabajo,Agitación,Amistad","Agitación,Educación,Tensión,Orgullo,Emoción,Trabajo","Orgullo,Tensión,Educación,Trabajo,Arrepentimiento,Impresión",,
1989,Mujer,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,1571,S,Tolerancia a la ambigüedad,,Sí,1,3,4,4,4,1,1,1,3,1,1,5,1,2,1,2,5,1,2,1,1,1,1,1,1,,,,,,1,4,3,3,1,1,3,3,3,3,2,2,3,2,2,3,3,4,3,4,4,3,4,3,2,2,"Educación,Agitación,Inquietud,Emoción,Tensión,Arrepentimiento","Educación,Cordialidad,Dedicación,Disciplina,Amistad,Trabajo","Orgullo,Emoción,Inquietud,Impresión,Agitación,Imprudencia",,
1987,Hombre,Bachillerato,Estrato 1,Colombia,Quindío,Armenia,1300,P,,,No,3,5,1,5,4,3,3,5,4,1,2,4,4,4,4,1,5,1,5,0,0,1,0,1,,,,,1,,1,4,3,3,1,1,3,3,3,3,5,5,5,3,5,5,5,5,5,4,4,4,5,4,5,5,"Emoción,Agitación,Amistad,Tensión,Arrepentimiento,Impresión","Sorpresa,Impresión,Educación,Disciplina,Cordialidad,Tensión","Educación,Trabajo,Emoción,Amistad,Imprudencia,Impresión",,
1971,Hombre,Título universitario,Estrato 5,Colombia,Santander,Barrancabermeja,8100,P,Deshumanización,1.67,Sí,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,1,,,,1,1,3,4,4,1,1,2,2,1,3,4,3,4,3,4,4,3,5,4,4,5,2,4,4,1,3,"Vergüenza,Sospecha,Imprudencia,Tensión,Agitación,Aburrición","Aburrición,Timidez,Nostalgia,Emoción,Disciplina,Inquietud","Orgullo,Extroversión,Sorpresa,Educación,Emoción,Cordialidad",,
1974,Hombre,Posgrado,Estrato 3,Colombia,Meta,Acacias ,3969,G,Confianza,.75,Sí,1,4,1,1,3,2,1,1,3,1,1,1,1,1,1,3,3,1,2,1,0,1,0,,1,1,,,,,1,4,4,4,1,1,1,3,3,4,2,2,3,1,2,3,4,3,5,5,5,1,3,3,1,3,"Agitación,Imprudencia,Tensión,Sospecha,Arrepentimiento,Emoción","Cordialidad,Dedicación,Timidez,Inquietud,Sorpresa,Imprudencia","Educación,Disciplina,Trabajo,Dedicación,Cordialidad,Amistad",,
1981,Mujer,Posgrado,Estrato 2,Colombia,Santander,Puente Nacional,6765,L,,,No,3,1,1,3,3,2,1,3,3,1,2,5,3,1,1,4,5,1,5,1,1,1,1,,1,,,,,1,1,3,4,4,0,1,3,3,1,3,1,1,1,1,1,1,4,2,4,1,5,1,1,5,3,5,"Arrepentimiento,Disciplina,Cordialidad,Trabajo,Emoción,Dedicación","Cordialidad,Trabajo,Educación,Amistad,Dedicación,Timidez","Extroversión,Orgullo,Emoción,Impresión,Agitación,Trabajo",,
1973,Mujer,Técnico / Tecnológico,Estrato 1,Colombia,Magdalena,Zona Bananera,7132,G,,,No,3,1,1,3,1,1,1,1,1,1,2,1,1,2,2,1,4,1,3,1,1,1,1,1,,,,,1,1,,3,3,3,0,1,1,2,1,2,1,1,1,2,1,5,5,5,4,4,5,3,5,4,3,5,"Emoción,Orgullo,Inquietud,Disciplina,Dedicación,Impresión","Disciplina,Amistad,Sorpresa,Nostalgia,Vergüenza,Arrepentimiento","Imprudencia,Trabajo,Disciplina,Tensión,Vergüenza,Orgullo",,
1988,Hombre,Bachillerato,Estrato 2,Colombia,Antioquia,Medellín,7337,G,,,No,5,4,1,5,5,4,1,1,5,1,4,5,5,1,3,1,5,3,5,1,1,1,1,,,,,1,,1,1,3,3,3,1,1,1,3,2,3,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,"Agitación,Emoción,Disciplina,Sorpresa,Amistad,Cordialidad","Amistad,Sospecha,Imprudencia,Arrepentimiento,Impresión,Vergüenza","Imprudencia,Sospecha,Aburrición,Vergüenza,Timidez,Agitación",,
1960,Hombre,Título universitario,Estrato 3,Colombia,Huila,Neiva,7463,G,Deshumanización,2.3299999,Sí,1,3,4,2,4,1,2,1,2,1,2,4,2,2,4,1,4,2,4,1,1,1,1,,,,1,,,1,1,4,3,4,1,1,1,2,1,2,4,1,1,1,1,1,4,4,5,4,5,2,4,5,4,4,"Sorpresa,Dedicación,Extroversión,Compasión,Educación,Trabajo","Orgullo,Amistad,Disciplina,Emoción,Trabajo,Dedicación","Educación,Arrepentimiento,Trabajo,Sorpresa,Amistad,Imprudencia",,
1970,Hombre,Título universitario,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,9452,E,Deshumanización,4.3299999,No,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,,,,1,,,1,1,2,2,2,0,1,2,1,1,2,4,4,4,3,4,4,3,2,2,5,4,5,5,3,4,4,"Amistad,Sospecha,Compasión,Tensión,Trabajo,Impresión","Trabajo,Emoción,Compasión,Disciplina,Cordialidad,Amistad","Amistad,Orgullo,Educación,Inquietud,Trabajo,Tensión",,
1962,Hombre,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Cundinamarca,6493,A,,,No,1,2,1,1,1,4,1,1,3,5,1,2,4,1,1,1,2,3,4,1,0,1,0,,,1,,1,,,1,4,4,4,1,1,1,2,2,3,1,3,4,1,1,2,5,5,5,4,5,5,5,5,3,1,"Sospecha,Agitación,Imprudencia,Inquietud,Nostalgia,Arrepentimiento","Tensión,Imprudencia,Impresión,Aburrición,Agitación,Orgullo","Inquietud,Dedicación,Educación,Emoción,Amistad,Cordialidad",,
1972,Hombre,Título universitario,Estrato 3,Colombia,Atlántico,Puerto Colombia,2168,T,Tolerancia a la ambigüedad,,Sí,2,3,4,3,2,1,1,1,1,1,2,4,2,1,2,3,4,2,2,1,0,1,0,1,,1,,,,,1,2,2,2,0,1,1,1,1,1,3,3,4,4,3,5,5,3,3,4,4,4,4,3,2,2,"Tensión,Vergüenza,Agitación,Imprudencia,Aburrición,Orgullo","Trabajo,Disciplina,Compasión,Educación,Cordialidad,Dedicación","Orgullo,Educación,Inquietud,Tensión,Impresión,Trabajo",,
1998,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,6764,D,,,No,1,5,1,3,3,3,3,1,2,2,3,4,2,1,2,5,5,2,4,1,1,1,1,1,,,,,,1,1,4,4,3,1,1,4,4,3,4,4,4,2,1,3,5,4,5,5,5,4,4,4,2,3,3,"Compasión,Nostalgia,Agitación,Educación,Sospecha,Emoción","Educación,Trabajo,Compasión,Timidez,Dedicación,Sorpresa","Orgullo,Nostalgia,Disciplina,Sospecha,Dedicación,Tensión",,
1972,Hombre,Título universitario,Estrato 5,Colombia,Valle del Cauca,Cali,8888,L,Confianza,.75,Sí,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,1,1,1,4,"Arrepentimiento,Sospecha,Educación,Tensión,Emoción,Compasión","Arrepentimiento,Vergüenza,Inquietud,Tensión,Sospecha,Agitación","Impresión,Emoción,Sospecha,Vergüenza,Tensión,Agitación",,
1983,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Meta,Villavicencio,8111,R,Confianza,,Sí,1,1,1,1,5,5,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,,1,1,,1,,,,3,4,4,1,0,3,2,2,4,1,3,1,1,1,4,1,1,3,1,5,5,5,1,5,5,"Amistad,Emoción,Sorpresa,Agitación,Aburrición,Educación","Educación,Trabajo,Inquietud,Impresión,Tensión,Cordialidad","Trabajo,Orgullo,Disciplina,Dedicación,Educación,Amistad",,
1975,Hombre,Posgrado,Estrato 3,Colombia,Sucre,Sincelejo,1623,M,Deshumanización,4.6700001,No,1,1,2,4,4,2,1,3,1,1,2,5,4,1,2,1,2,3,4,1,0,1,0,,,,,1,,1,1,3,3,4,1,1,3,1,1,3,3,2,3,3,2,3,4,2,4,3,4,4,3,4,2,2,"Trabajo,Orgullo,Emoción,Disciplina,Dedicación,Educación","Agitación,Imprudencia,Orgullo,Trabajo,Tensión,Sospecha","Sospecha,Aburrición,Nostalgia,Tensión,Agitación,Compasión",,
1956,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Meta,Villavicencio,3235,P,Discriminización,,Sí,1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,,,,1,1,,1,,3,3,3,1,0,4,2,3,4,1,1,2,3,4,3,5,5,5,4,5,3,5,1,1,4,"Agitación,Imprudencia,Amistad,Educación,Orgullo,Impresión","Inquietud,Emoción,Nostalgia,Trabajo,Educación,Amistad","Trabajo,Amistad,Arrepentimiento,Tensión,Impresión,Emoción",,
1994,Mujer,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,252,V,,,No,5,5,3,3,5,4,3,3,3,2,3,5,3,3,4,5,3,4,4,0,0,1,0,,,,,1,1,,1,4,5,5,1,1,2,4,3,5,2,3,3,2,3,2,5,5,5,5,5,4,4,5,2,3,"Arrepentimiento,Impresión,Imprudencia,Timidez,Tensión,Sospecha","Imprudencia,Sorpresa,Aburrición,Tensión,Inquietud,Nostalgia","Sorpresa,Educación,Emoción,Disciplina,Trabajo,Cordialidad",,
1996,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,3683,B,Tolerancia a la ambigüedad,3.7,No,1,4,4,4,4,3,3,2,3,4,4,4,1,2,1,1,4,1,5,1,1,1,1,,,,1,,,1,1,4,3,4,1,1,2,3,2,3,2,3,2,3,2,4,3,4,4,3,3,3,3,3,3,5,"Educación,Sospecha,Agitación,Inquietud,Extroversión,Tensión","Timidez,Sospecha,Imprudencia,Tensión,Inquietud,Arrepentimiento","Tensión,Sospecha,Agitación,Extroversión,Vergüenza,Trabajo",,
1981,Hombre,Título universitario,Estrato 3,Colombia,Cundinamarca,Madrid,9212,V,Confianza,1,No,1,1,4,2,4,1,1,1,1,1,2,1,1,1,1,1,5,1,4,1,1,1,1,,,1,,,1,,1,5,5,5,1,1,4,2,2,5,1,1,1,1,1,1,4,1,1,3,5,1,4,2,4,5,"Dedicación,Cordialidad,Amistad,Trabajo,Educación,Disciplina","Compasión,Orgullo,Trabajo,Dedicación,Disciplina,Educación","Disciplina,Orgullo,Educación,Trabajo,Inquietud,Arrepentimiento",,
1987,Mujer,Título universitario,Estrato 3,Colombia,Tolima,Ibagué,2731,P,Confianza,1,No,1,1,1,1,4,1,3,3,2,1,1,2,1,1,1,3,3,1,1,1,1,1,1,,,,,,1,1,1,4,4,4,1,1,3,3,2,4,1,1,1,1,1,3,4,3,3,3,5,2,3,3,2,4,"Educación,Trabajo,Compasión,Disciplina,Dedicación,Inquietud","Sospecha,Inquietud,Tensión,Emoción,Amistad,Orgullo","Tensión,Trabajo,Orgullo,Inquietud,Impresión,Amistad",,
1995,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,8948,B,Confianza,.63,No,1,3,3,3,3,3,3,4,3,2,4,5,2,2,3,2,4,2,4,1,0,1,0,1,,,,,,1,1,2,3,3,0,1,3,3,2,2,2,2,1,1,1,1,3,4,3,4,2,4,3,2,3,2,"Disciplina,Nostalgia,Dedicación,Orgullo,Educación,Aburrición","Inquietud,Disciplina,Sorpresa,Extroversión,Imprudencia,Aburrición","Nostalgia,Educación,Cordialidad,Vergüenza,Sospecha,Inquietud",,
1995,Mujer,Posgrado,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,3638,P,,,No,1,3,3,3,3,4,1,1,3,1,3,2,1,1,1,1,2,2,2,1,0,1,1,1,,1,,,,,1,4,3,3,1,1,2,2,3,3,2,2,3,1,3,3,4,3,4,4,4,2,2,3,3,4,"Imprudencia,Tensión,Impresión,Agitación,Sospecha,Educación","Aburrición,Inquietud,Sorpresa,Orgullo,Dedicación,Impresión","Educación,Trabajo,Orgullo,Sorpresa,Dedicación,Disciplina",,
1982,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,4341,P,Tolerancia a la ambigüedad,,Sí,1,2,3,4,2,1,1,2,3,2,2,3,3,2,1,2,2,1,4,1,1,1,1,,1,,,,,1,1,3,4,4,1,1,3,1,1,2,1,1,1,1,2,1,5,3,4,4,5,1,2,1,3,5,"Educación,Trabajo,Orgullo,Emoción,Inquietud,Disciplina","Orgullo,Inquietud,Sospecha,Amistad,Cordialidad,Trabajo","Amistad,Educación,Cordialidad,Agitación,Impresión,Extroversión",,
1988,Mujer,Título universitario,Estrato 2,Colombia,Tolima,San Antonio,9979,R,Tolerancia a la ambigüedad,,Sí,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,,,1,,1,1,,5,2,3,0,1,1,2,1,3,1,1,1,1,1,2,2,4,3,2,5,1,4,1,1,3,"Trabajo,Orgullo,Aburrición,Disciplina,Sorpresa,Amistad","Nostalgia,Inquietud,Emoción,Agitación,Dedicación,Tensión","Sorpresa,Trabajo,Imprudencia,Orgullo,Aburrición,Timidez",,
1997,Mujer,Título universitario,Estrato 2,Colombia,Cundinamarca,Facatativá,3129,S,Discriminización,,Sí,1,3,4,4,3,1,4,3,3,1,2,3,1,1,1,1,3,1,4,1,1,1,1,,,,,,1,1,1,1,1,1,0,1,2,1,1,5,1,2,4,3,1,4,4,3,4,3,5,2,4,5,1,4,"Educación,Dedicación,Emoción,Trabajo,Orgullo,Tensión","Vergüenza,Sospecha,Inquietud,Agitación,Aburrición,Tensión","Orgullo,Agitación,Amistad,Sospecha,Trabajo,Vergüenza",,
1977,Mujer,Título universitario,Estrato 4,Colombia,Cundinamarca,Facatativá,9642,B,Deshumanización,3,Sí,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,3,3,3,0,1,1,1,1,1,2,1,4,1,1,4,2,3,5,3,5,1,5,2,2,4,"Timidez,Tensión,Arrepentimiento,Emoción,Inquietud,Agitación","Emoción,Timidez,Vergüenza,Arrepentimiento,Agitación,Tensión","Aburrición,Inquietud,Amistad,Arrepentimiento,Tensión,Emoción",,
1997,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,53,Y,Discriminización,.23333333,No,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,0,,,,1,,1,,1,4,3,3,1,0,3,3,3,3,2,2,2,2,2,2,3,2,2,2,4,3,3,2,5,5,"Cordialidad,Impresión,Sorpresa,Educación,Disciplina,Emoción","Impresión,Emoción,Dedicación,Sorpresa,Cordialidad,Educación","Dedicación,Sorpresa,Imprudencia,Impresión,Extroversión,Disciplina",,
1992,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Antioquia,Medellín,2076,U,Deshumanización,2,Sí,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,1,,1,1,4,2,3,1,1,1,1,1,3,4,2,1,1,1,2,5,1,1,2,4,1,1,2,5,5,"Emoción,Inquietud,Aburrición,Nostalgia,Tensión,Amistad","Extroversión,Aburrición,Tensión,Imprudencia,Inquietud,Sospecha","Vergüenza,Nostalgia,Aburrición,Arrepentimiento,Orgullo,Tensión",,
1992,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,9783,M,Deshumanización,3,Sí,3,2,2,3,1,1,3,4,5,3,4,2,5,1,1,2,5,2,4,1,1,1,1,1,,,,,1,,1,3,4,3,1,1,4,4,4,4,1,3,1,3,1,1,3,3,3,4,3,1,5,4,2,5,"Extroversión,Dedicación,Disciplina,Educación,Trabajo,Emoción","Inquietud,Cordialidad,Educación,Trabajo,Compasión,Vergüenza","Sospecha,Impresión,Vergüenza,Agitación,Tensión,Aburrición",,
