year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1995,Mujer,Bachillerato,Estrato 2,Samoa Americana,Boyacá,Betéitiva,2325,R,Tolerancia a la ambigüedad,3,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,1,,1,,,1,,,1,3,3,3,1,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,"Amistad,Emoción,Aburrición,Timidez,Imprudencia,Vergüenza","Disciplina,Emoción,Sospecha,Imprudencia,Orgullo,Compasión","Agitación,Vergüenza,Nostalgia,Inquietud,Sospecha,Timidez",00:04:47,2022-04-11
1996,Mujer,Primaria,Estrato 2,Colombia,Magdalena,Santa Marta,1962,T,,,No,2,1,3,1,4,3,4,3,3,2,1,4,4,3,5,1,4,2,4,0,1,0,0,,1,,1,,1,,,4,2,4,0,1,1,1,1,4,2,4,2,4,2,4,2,4,3,3,1,3,4,2,2,2,"Nostalgia,Disciplina,Orgullo,Emoción,Tensión,Agitación","Educación,Impresión,Imprudencia,Tensión,Compasión,Inquietud","Orgullo,Arrepentimiento,Agitación,Nostalgia,Dedicación,Sorpresa",00:02:09,2022-04-11
1997,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,9787,S,,,No,3,3,3,5,2,3,3,4,2,1,3,3,5,3,1,3,3,1,2,0,0,0,0,1,,,1,,,1,,3,3,3,1,1,1,2,1,3,2,1,2,4,1,4,5,3,4,3,5,3,4,3,3,4,"Imprudencia,Agitación,Aburrición,Vergüenza,Trabajo,Sospecha","Educación,Orgullo,Tensión,Inquietud,Cordialidad,Emoción","Disciplina,Educación,Emoción,Compasión,Cordialidad,Orgullo",00:09:33,2022-04-11
1992,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,8725,P,Confianza,.5,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,1,,,,1,,,1,1,3,3,3,0,1,2,1,1,3,1,1,1,1,1,1,5,1,1,5,2,4,1,2,4,1,"Disciplina,Emoción,Educación,Orgullo,Trabajo,Extroversión","Inquietud,Orgullo,Tensión,Trabajo,Sorpresa,Aburrición","Imprudencia,Vergüenza,Agitación,Timidez,Inquietud,Emoción",00:06:35,2022-04-11
1991,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,435,H,,,No,1,3,1,1,3,3,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,,,,1,1,,1,4,3,3,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,5,"Educación,Orgullo,Trabajo,Disciplina,Dedicación,Emoción","Trabajo,Educación,Disciplina,Emoción,Dedicación,Cordialidad","Imprudencia,Orgullo,Inquietud,Dedicación,Extroversión,Cordialidad",00:14:34,2022-04-11
1995,Mujer,Bachillerato,Estrato 2,Marruecos,Bogotá D.C.,Bogotá D.C.,1232,O,Discriminización,.60000002,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,0,0,0,1,,,,,,1,1,1,3,3,3,1,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,"Agitación,Impresión,Timidez,Imprudencia,Inquietud,Trabajo","Trabajo,Imprudencia,Timidez,Educación,Extroversión,Disciplina","Disciplina,Amistad,Impresión,Emoción,Vergüenza,Nostalgia",00:03:11,2022-04-11
1993,Hombre,Bachillerato,Estrato 2,Colombia,La Guajira,Riohacha,2999,V,Tolerancia a la ambigüedad,3,Sí,1,2,2,4,3,1,3,5,4,4,4,2,1,3,2,3,2,4,1,1,1,1,0,1,,,1,,,,1,4,1,4,1,0,2,2,4,3,1,4,3,4,2,4,3,1,3,1,1,2,3,4,3,4,"Tensión,Extroversión,Nostalgia,Imprudencia,Impresión,Arrepentimiento","Aburrición,Arrepentimiento,Orgullo,Extroversión,Inquietud,Amistad","Dedicación,Inquietud,Cordialidad,Nostalgia,Tensión,Extroversión",00:06:00,2022-04-11
2003,Mujer,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,7793,R,Tolerancia a la ambigüedad,4.1999998,No,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,,1,,1,,,,5,5,5,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,"Sospecha,Disciplina,Cordialidad,Trabajo,Imprudencia,Sorpresa","Tensión,Imprudencia,Vergüenza,Timidez,Emoción,Educación","Trabajo,Cordialidad,Orgullo,Extroversión,Educación,Timidez",00:03:23,2022-04-11
2002,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Magdalena,Santa Marta,8970,S,,,No,3,3,3,4,4,4,4,2,2,2,3,1,4,5,4,3,2,4,4,0,1,0,1,1,,,,1,1,,,3,4,4,1,1,5,3,2,3,4,4,4,3,5,4,5,3,2,4,2,2,5,3,4,5,"Arrepentimiento,Emoción,Vergüenza,Sorpresa,Cordialidad,Orgullo","Dedicación,Inquietud,Agitación,Vergüenza,Educación,Impresión","Sospecha,Extroversión,Disciplina,Timidez,Vergüenza,Nostalgia",00:03:55,2022-04-11
2004,Hombre,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,7855,P,Deshumanización,4.3299999,No,5,5,4,5,5,5,5,1,3,5,5,2,5,5,5,2,5,2,5,0,0,1,1,,1,,1,1,,,,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,1,3,2,4,1,2,4,2,"Sorpresa,Vergüenza,Nostalgia,Compasión,Timidez,Extroversión","Emoción,Arrepentimiento,Agitación,Cordialidad,Tensión,Dedicación","Sorpresa,Orgullo,Educación,Agitación,Arrepentimiento,Impresión",00:04:17,2022-04-11
